curso,bloques,alumnos,profesor_id,nombre_profesor,salas_disponibles
Algoritmos_Avanzados,2,25,1,Victor Parada,"4,5,6,7,8"
Bases_de_Datos_II,2,30,2,Maria Lopez,"4,6,7,8"
Redes_de_Computadores_II,2,28,3,Carlos Soto,"4,6,7,8"
Programacion_Concurrente,2,22,4,Ana Torres,"4,5,6,7"
Sistemas_Operativos_II,2,24,5,Pedro Gonzalez,"4,5,6,7"
Ingenieria_de_Software_II,2,35,6,Luis Martinez,"6,7,8,9"
Calculo_III,2,55,7,Roberto Diaz,"8,9,10"
Fisica_II,2,50,8|21,Carmen Ruiz|Camila Reyes,"8,9,10"
Estadistica_Avanzada,2,40,9,Diego Ramirez,"8,9,10"
Inteligencia_Artificial_II,2,20,10,Elena Vargas,"3,4,5,6,7"
Estructuras_de_Datos_II,2,28,11,Sofia Rojas,"4,6,7,8"
Compiladores_Avanzados,2,18,12,Francisco Silva,"3,4,5,6"
Teoria_de_la_Computacion_II,2,22,13,Loreto Araya,"4,5,6,7"
Seguridad_Informatica_II,2,25,14,Jorge Mella,"4,5,6,7"
Modelacion_de_Datos_Avanzada,1,18,15,Patricia Bravo,"4,5,6"
Optimizacion_II,2,25,16,Gabriel Fuentes,"4,6,7,8"
Economia_para_Ingenieria,2,30,17,Claudia Morales,"4,5,6,7"
Marketing_Digital,1,40,18|31,Fernando Castro|Tomas Aguilera,"8,9,10"
Finanzas_Corporativas,2,35,19,Valentina Ortiz,"6,7,8,9"
Lab_Computacion_1,2,10,20,Gonzalo Navarro,"1,2,3"
Lab_Computacion_2,2,10,21,Camila Reyes,"1,2,3"
Lab_TIC_Avanzado,2,18,22,Sebastian Godoy,"3,4,5"
Taller_de_Programacion,2,25,23,Daniela Mendoza,"4,5,6,7"
Arquitectura_de_Computadores,2,45,24,Marcelo Paredes,"8,9,10"
Sistemas_Distribuidos,2,30,25,Javier Espinoza,"6,7,8,9"
Computacion_en_la_Nube,2,35,26,Natalia Salgado,"6,7,8,9"
Aprendizaje_Automatico,2,25,27,Rodrigo Guzman,"4,6,7,8"
Vision_por_Computador,2,20,28|9,Andrea Sepulveda|Diego Ramirez,"3,4,5,6"
Procesamiento_Lenguaje_Natural,2,22,29,Hernan Pinto,"4,5,6,7"
Ciberseguridad,2,30,30,Isabel Carvajal,"6,7,8,9"
Criptografia,1,20,31,Tomas Aguilera,"3,4,5,6"
Fisica_Moderna,2,45,32,Monica Fuentes,"8,9,10"
Ecuaciones_Diferenciales,2,60,1,Victor Parada,"8,9,10"
Algebra_Lineal_Avanzada,2,50,2,Maria Lopez,"8,9,10"
Probabilidades,2,55,3,Carlos Soto,"8,9,10"
Investigacion_de_Operaciones,2,40,4,Ana Torres,"8,9,10"
Gestion_de_Proyectos,2,35,5,Pedro Gonzalez,"6,7,8,9"
Evaluacion_de_Proyectos,2,30,6|19,Luis Martinez|Valentina Ortiz,"6,7,8,9"
Introduccion_a_la_Ingenieria,2,90,7,Roberto Diaz,10
Fisica_General_Seccion_1,2,85,8,Carmen Ruiz,10
Calculo_General_Seccion_1,2,95,9,Diego Ramirez,10
Quimica_General,2,70,10,Elena Vargas,10
Etica_Profesional,1,45,11,Sofia Rojas,"8,9,10"
Derecho_Informatico,1,40,12,Francisco Silva,"8,9,10"
Liderazgo_y_Gestion,1,30,13,Loreto Araya,"6,7,8,9"
Emprendimiento_Tecnologico,2,35,14,Jorge Mella,"6,7,8,9"
Robotica,2,15,15,Patricia Bravo,"2,3,4,5"
Internet_de_las_Cosas,2,20,16|29,Gabriel Fuentes|Hernan Pinto,"3,4,5,6"
Sistemas_Embebidos,2,18,17,Claudia Morales,"3,4,5,6"
Bioinformatica,2,22,18,Fernando Castro,"4,5,6,7"
Geometria_Computacional,2,20,19,Valentina Ortiz,"3,4,5,6"
Grafos_y_Redes,2,25,20,Gonzalo Navarro,"4,5,6,7"
Simulacion_de_Sistemas,2,28,21,Camila Reyes,"4,6,7,8"
Teoria_de_Juegos,2,25,22,Sebastian Godoy,"4,5,6,7"
Control_de_Gestion,2,30,23,Daniela Mendoza,"6,7,8,9"
Contabilidad_Financiera,2,40,24,Marcelo Paredes,"8,9,10"
Microeconomia,2,45,25,Javier Espinoza,"8,9,10"
Macroeconomia,2,45,26|7,Natalia Salgado|Roberto Diaz,"8,9,10"
Taller_Proyecto_Capstone,2,15,27,Rodrigo Guzman,"3,4,5,6"
Seminario_de_Tesis,1,12,28,Andrea Sepulveda,"3,4,5,6"
